yellow	colour, color, |0.0|.1|2
downgrade^	rate, rank, range, order, grade, place, |-1.0|.1|6
sacrifice	give, release, relinquish, resign^, free, kill, sell, offer, |0.0|.1|8
brown	cook, |0.0|.1|1
trigger	trip, activate, spark, initiate, pioneer, trigger, |0.0|.1|6
heat	change, alter, modify, supply, provide, furnish, wake, ignite, arouse, elicit, kindle, evoke, fire, raise, provoke, turn, |0.0|.1|16
demand	request, bespeak, quest, necessitate, ask, need, require, take, involve, exact, claim, claim, summon, cite, request, bespeak, quest, |0.0|.1|17
plan	intend, mean, think, think, project, design, design, |0.0|.1|7
hate^	dislike, |-1.0|.1|1
argue^	reason, present, represent, contend, debate, fence, discourse, indicate, present, represent, |-1.0|.1|10
ask	inquire, communicate, request, bespeak, quest, formulate, word, phrase, articulate, require, expect, demand, demand, address, necessitate, need, require, take, involve, demand, |0.0|.1|20
eradicate	eliminate, kill, uproot, destroy, |0.0|.1|4
fondle	stroke, caress, |0.0|.1|2
gleam	shine, look, appear, seem, glimmer, appear, |0.0|.1|6
escalade	climb, mount, |0.0|.1|2
snag	hitch, catch, obtain, |0.0|.1|3
bill	charge, account, calculate, advertise, promote, push, placard, post, |0.0|.1|8
criticise^	knock, criticize, comment, notice, remark, criticize, act, |-1.0|.1|7
dot	stud, cover, continue, extend, scatter, sprinkle, dust, disperse, write, mark, |0.0|.1|10
cry	shout, call, scream, squall, utter, emit, shout, express, utter, announce, want, need, require, utter, emit, change, alter, modify, |0.0|.1|18
gloat	triumph, boast, tout, brag, gas, blow, look, |0.0|.1|7
snap	talk, speak, utter, mouth, tear, bust^, separate, disunite, divide, part, crack, break, separate, click, move, close^, shut, crack, sound, go, move, seize, clutch, hit, click, move, act, behave, do, photograph, shoot, record, enter, |0.0|.1|33
lift	raise, move, displace, move, displace, raise, move, displace, rise, arise*, uprise, travel, go, move, utter, emit, revoke, reverse, repeal, overturn, cancel, purloin, pinch, abstract, swipe, hook, filch, steal, wind, raise, raise, better, improve*, raise, change, alter, modify, remove, take, withdraw, rise, look, appear, seem, steal, steal, dig, call, heave, buckle, raise, end, terminate, scalp, remove, take, withdraw, remove, take, withdraw, operate, |0.0|.1|61
work	act, succeed*, win*, function, operate, go, run, process, transform, exercise, make, pass, go, proceed, move, move, displace, bring, play, wreak, make, create, utilize, utilise, apply, employ, cultivate, crop, fix, prepare, ready, set, be, influence, affect, impact, touch, operate, run, manage, deal, care, handle, stimulate, excite, stir, capture, catch, captivate*, beguile, charm, fascinate*, entrance, enchant, shape, form, forge, move, displace, knead, manipulate, exploit, use, utilize, utilise, apply, employ, solve, understand, convert, sour, turn, turn, become, go, get, |0.0|.1|76
divert	turn, send, direct, amuse, entertain, withdraw, draw, |0.0|.1|7
impoverish^	deprive, deprive, worsen^, decline, |-1.0|.1|4
photograph	snap, shoot, record, enter, photograph, |0.0|.1|5
