yellow	colour, color, |0.0|.1|2
alert	alarm, warn, |0.0|.1|2
view	see, consider, reckon, regard, think, believe, consider, conceive, consider, analyze, analyse, study, examine, canvas, watch, see, catch, watch, |0.0|.1|18
level	aim, take, train, direct, dismantle, destroy, even, charge, point, aim, take, train, direct, talk, speak, |0.0|.1|15
grok	savvy, dig, compass, understand, |0.0|.1|4
stack	load, lade, laden, pile, heap, arrange, arrange, |0.0|.1|7
can	preserve*, keep, fire, dismiss, sack, terminate, remove, |0.0|.1|7
expend	use, spend, drop, pay, |0.0|.1|4
concrete	cover, solidify, |0.0|.1|2
prioritise	rate, rank, range, order, grade, place, |0.0|.1|6
diet	fast, fast, |0.0|.1|2
arrest	collar, nail, nab, cop, seize, clutch, check, stop, contain, defend, catch, get, attract, pull, draw, halt, hold, stop, |0.0|.1|18
plague	afflict, smite, harass, hassle, harry, chevy, beset^, provoke, annoy, rag, bother, irritate, rile, gravel, vex, devil, |0.0|.1|16
overstate	exaggerate, amplify, mislead, |0.0|.1|3
inventory	list, |0.0|.1|1
fit	suit, accommodate, meet, go, meet, match, correspond, check, gibe, tally, agree, shape, form, adapt*, accommodate, match, correspond, check, gibe, tally, agree, equal, be, be, equip, provide, furnish, match, adjust, set, correct, |0.0|.1|31
signal	sign, communicate, bespeak, betoken, indicate, point, tell, |0.0|.1|7
parent	raise, nurture, parent, |0.0|.1|3
comply	follow, |0.0|.1|1
input	insert, enter, introduce, |0.0|.1|3
surprise	affect, impress, move, strike, act, move, storm, attack, assail, |0.0|.1|9
attribute	assign, evaluate, judge, assign, evaluate, judge, |0.0|.1|6
couple	match, mate, pair, twin*, join, attach, pair, unite, unify, mate, pair, join, |0.0|.1|12
microwave	cook, |0.0|.1|1
entrench	fix, secure, |0.0|.1|2
wive	marry, wed, espouse, marry, wed, espouse, supply, provide, furnish, |0.0|.1|9
suffer	endure, experience, undergo, see, sustain*, have, get, experience, receive, have, get, undergo, feel, experience, digest, endure, stomach, bear, stand, tolerate, support, brook, abide, permit, allow, let, worsen^, decline, hurt^, be, hurt^, perceive, meet, experience, undergo, see, be, tend, lean, incline, run, lose^, worsen^, decline, |0.0|.1|44
quest	seek, chase, trail, tail, tag, dog, track, beg, tap, communicate, pass, |0.0|.1|11
falcon	hunt, run, |0.0|.1|2
impose	enforce, compel, oblige, obligate, visit, communicate, levy, charge, bill, |0.0|.1|9
continue	proceed, keep, act, move, proceed, talk, speak, uphold, preserve*, keep, maintain, hold, proceed, travel, go, move, retain, keep, prolong, sustain*, act, move, act, move, stay, remain, be, cover, extend, be, be, |0.0|.1|31
yield	give, afford, supply, provide, furnish, change, return, give, generate, produce, make, create, concede^, cede, grant, give, relent, soften, give, move, give, make, create, concede^, grant, agree, hold, succumb, die, go, exit, expire^, pass, conk, choke^, pay, bear, gain, clear, make, earn, realize, realise, give, stretch, succumb, accept, consent, |0.0|.1|48
bounce	spring, bound, rebound, recoil, jump, leap, bound, spring, hit, travel, go, move, return, jump, leap, bound, spring, refuse, reject, decline, expel, eject, exclude, |0.0|.1|23
sigh	breathe, utter, emit, |0.0|.1|3
sight	perceive, |0.0|.1|1
sprint	run, |0.0|.1|1
sieve	screen, sort, choose, take, select, sift, analyze, analyse, study, examine, canvas, sift, strain, separate, sift, choose, take, select, |0.0|.1|18
emigrate	migrate, |0.0|.1|1
abandon	fling, toss, dispose, empty, leave, forsake, desert, leave, |0.0|.1|8
cup	shape, form, insert, introduce, treat, |0.0|.1|5
behave	act, do, bear, conduct, carry, hold, carry, bear, act, move, act, move, |0.0|.1|12
prosecute	act, move, engage, pursue, act, move, |0.0|.1|6
crook	curve, bend, flex, |0.0|.1|3
dictate	order, prescribe, visit, impose, read, govern, rule, |0.0|.1|7
relate	associate, link, connect, think, refer, pertain, concern, touch, tell, interact, |0.0|.1|10
analyse	analyze, study, examine, canvas, analyze, analyze, analyze, |0.0|.1|7
pronounce	articulate, enunciate, say, label, judge, declare, hold, |0.0|.1|7
ambush	lurk, wait, hunt, run, |0.0|.1|4
breast	converge, meet, reach, make, attain, hit, gain, front, confront, face, |0.0|.1|10
repair	mend, fix, doctor, restore, better, improve*, compensate, pay, resort, travel, go, move, remedy, correct, right, animate, revive, renovate, quicken, stimulate, arouse, brace, energize, |0.0|.1|23
appropriate	allow, earmark, reserve, assign, allot, portion, capture, seize, conquer, assume, seize, |0.0|.1|11
chirp	utter, emit, sing, |0.0|.1|3
unnerve	unsettle, upset, |0.0|.1|2
span	cross, sweep, cover, continue, extend, |0.0|.1|5
retrieve	recover, find, regain, get, acquire, bring, get, convey, fetch, remember, recall, think, |0.0|.1|12
spend	pass, expend, drop, pay, consume, eat, deplete, exhaust, |0.0|.1|8
supervise	oversee, manage, administer, monitor, observe, |0.0|.1|5
bargain	negotiate, agree, |0.0|.1|2
fog	obscure, cloud, mist, hide, conceal, |0.0|.1|5
spar	equip, fit, outfit, contend, fight, struggle, box, argue^, contend, debate, fence, |0.0|.1|11
blueprint	draft, design, plan, |0.0|.1|3
fragment	break, separate, |0.0|.1|2
tally	match, fit, correspond, check, gibe, agree, equal, be, score*, hit, gain, advance, win*, record, enter, total, sum, add, count, number, enumerate, |0.0|.1|21
slump	flag, sink, collapse^, give, break, founder, sink, drop, decline, correct, descend, fall, |0.0|.1|12
vow	pledge, plight, give, dedicate, commit, devote, |0.0|.1|6
line	lie, cover, trace, draw, describe, mark, score*, mark, fill, reinforce, |0.0|.1|10
cultivate	crop, work, fix, prepare, ready, set, educate, school, train, civilize, polish, refine, down, domesticate, tame, adapt*, accommodate, |0.0|.1|17
horn	tusk, pierce, |0.0|.1|2
mature	grow, develop, formulate, develop, change, change, alter, modify, age, develop, draw, |0.0|.1|11
fade	melt, weaken, wither, disappear, vanish, fleet, pass, disappear, vanish, languish, deteriorate, drop, |0.0|.1|12
reconcile	accommodate, adjust, set, correct, settle, agree, hold, resign^, submit, accept, |0.0|.1|10
define	specify, set, determine, fix, limit, specify, be, characterise, show, |0.0|.1|9
influence	work, affect, impact, touch, determine, shape, regulate, cause, do, make, charm, tempt, persuade, |0.0|.1|13
haunt	pursue, follow, obsess, ghost, frequent, visit, |0.0|.1|6
snaffle	grab, take, bridle^, |0.0|.1|3
nationalise	nationalize, change, alter, modify, nationalize, change, alter, modify, |0.0|.1|8
chat	jaw, visit, discourse, |0.0|.1|3
assail	assault, attack, attack, contend, fight, struggle, attack, round, assault, knock, criticize, criticise^, |0.0|.1|12
code	tag, label, mark, |0.0|.1|3
fix	repair, mend, doctor, restore, better, improve*, secure, attach, specify, set, determine, limit, choose, take, select, cook, ready, make, prepare, get, establish, found, plant, constitute, institute, prepare, ready, set, fixate, attach, operate, deposit, put, set, place, pose, position, lay, prepare, ready, set, change, alter, modify, |0.0|.1|44
digress	stray, wander, tell, depart, divert, |0.0|.1|5
invalid	remove, disable, incapacitate, injure, wound, |0.0|.1|5
scrap	trash, junk, fling, toss, dispose, dispute, argue^, contend, debate, fence, convert, |0.0|.1|11
crank	travel, go, move, start, rotate, fix, secure, flex, bend, twist, turn, |0.0|.1|11
curtail	restrict, curb, limit, confine, clip, shorten, |0.0|.1|6
side	pull, root, back, endorse, support, choose, take, select, |0.0|.1|8
hive	store, meet, gather, assemble, gather, garner, collect, |0.0|.1|7
land	arrive, get, come, arrive, get, come, bring, change, alter, modify, bring, convey, take, deliver, shore, arrive, get, come, down, land, |0.0|.1|20
renegotiate	negotiate, |0.0|.1|1
satellite	air, send, broadcast, beam, transmit, |0.0|.1|5
summit	reach, make, attain, hit, gain, |0.0|.1|5
essay	try, seek, attempt, act, move, test, prove, try, examine, evaluate, judge, |0.0|.1|11
rubbish	attack, round, assail, assault, |0.0|.1|4
stop	halt, cease, quit, halt, block, prevent, forestall, foreclose^, preclude, forbid, interrupt, disrupt, break, end, terminate, check, arrest, contain, defend, catch, grab, end, finish, terminate, cease, barricade, block, blockade, bar, obstruct, impede, jam, block, interrupt, break, |0.0|.1|35
prim	change, squeeze, compact, contract, press, dress, clothe, apparel, |0.0|.1|8
lambaste	cane, flog, beat, rebuke, rag, jaw, knock, criticize, criticise^, |0.0|.1|9
shrug	gesture, motion, |0.0|.1|2
seem	look, appear, be, appear, be, be, appear, seem, |0.0|.1|8
concern	refer, pertain, relate, touch, interest, occupy, worry, |0.0|.1|7
debunk	expose, guy, rib, |0.0|.1|3
dislike	dislike, |0.0|.1|1
hint	suggest, convey, |0.0|.1|2
upload	transfer, |0.0|.1|1
torture	torment, rack, pain, anguish, hurt^, torment, injure, wound, |0.0|.1|8
dissent	disagree, differ, protest, resist, oppose, disagree, differ, |0.0|.1|7
traumatise	shock, injure, wound, |0.0|.1|3
manipulate	influence, work, handle, palm, fake, falsify, cook, cheat^, rig, price, control, interact, treat, |0.0|.1|13
nominate	propose, propose, choose, take, select, name, make, appoint, charge, appoint, name, constitute, establish, found, plant, constitute, institute, |0.0|.1|17
wipe	rub, |0.0|.1|1
harbor	hold, entertain, nurse, feel, experience, shelter, keep, shield, hide, conceal, |0.0|.1|10
marry	wed, espouse, unite, unify, wed, tie, |0.0|.1|6
whoop	shout, cry, call, scream, squall, hack, |0.0|.1|6
flout	scoff, dismiss, disregard, discount, ignore, scoff, barrack, gibe, rag, bait, taunt, rally, ride, |0.0|.1|13
bemoan	deplore, lament, complain, kick, plain, |0.0|.1|5
rack	pace, try, strain, stress, work, squeeze, soak, surcharge, pluck, rob, hook, sail, fly, wing, draw, torment, torture, pain, anguish, hurt^, work, process, seize, clutch, torture, torment, |0.0|.1|26
pledge	plight, promise, assure*, subscribe, donate, toast, drink, salute, honour, reward*, charge, oblige, bind, hold, obligate, |0.0|.1|15
participate	act, move, enter, participate, |0.0|.1|4
imply	express, show, express, show, mean, necessitate, suggest, evoke, involve, necessitate, ask, need, require, take, involve, demand, |0.0|.1|16
pour	move, displace, swarm, stream, teem, crowd, run, flow, feed, course, supply, provide, furnish, stream, rain, |0.0|.1|15
index	list, supply, provide, furnish, determine, shape, influence, regulate, |0.0|.1|8
implode	collapse^, give, break, founder, |0.0|.1|4
express	show, convey, utter, state, refer, carry, convey, communicate, reveal, display, show, extract, get, acquire, mail, post, send, |0.0|.1|17
flow	flux, move, run, feed, course, move, exist, be, hang, fall, flood, |0.0|.1|11
bird	observe, |0.0|.1|1
gather	garner, collect, meet, assemble, accumulate, conglomerate, increase, reason, conclude, tuck, assemble, search, seek, |0.0|.1|13
punch	plug, hit, pierce, |0.0|.1|3
deliver	present, talk, speak, utter, mouth, bring, get, convey, fetch, pass, hand, reach, give, rescue, save, expel, return, communicate, pass, utter, emit, redeem, save, give, surrender, cede, give, gift, present, pitch, throw, bear, birth, have, produce, |0.0|.1|35
resist	defy, refuse, elude, escape, withstand, fight, oppose, defend, protest, dissent, oppose, stand, fight, oppose, defend, reject, refuse, react, respond, balk, |0.0|.1|20
invent	devise, formulate, forge, manufacture, concoct, |0.0|.1|5
deduce	deduct, derive, reason, conclude, reason, conclude, |0.0|.1|6
engage	prosecute, pursue, act, move, absorb, engross, occupy, interest, hire, employ, hire, employ, plight, vow, touch, wage, contend, fight, struggle, enlist, secure, lease, rent, hire, charter, take, get, acquire, mesh, lock, operate, move, displace, |0.0|.1|33
receive	have, get, acquire, get, find, obtain, incur, change, perceive, experience, have, get, undergo, invite, accept, welcome, greet, recognize, convert, meet, encounter, have, experience, celebrate, fete, get, partake, touch, see, consider, reckon, view, regard, |0.0|.1|33
involve	affect, regard, refer, pertain, relate, concern, touch, admit, include, imply, necessitate, ask, need, require, take, demand, necessitate, ask, need, require, take, demand, include, envelop, wrap, absorb, engross, engage, occupy, complicate, refine, elaborate, |0.0|.1|32
disband	disperse, dispel, scatter, dissolve, |0.0|.1|4
make	do, get, change, alter, modify, create, induce, stimulate, cause, have, get, cause, do, create, produce, create, draw, cause, do, create, create, gain, clear, earn, realize, realise, get, acquire, do, create, form, constitute, constitute, represent, comprise, be, reach, achieve, accomplish*, attain, reach, become, perform, execute, do, construct, build, create, change, alter, modify, act, behave, do, name, nominate, appoint, charge, have, get, score*, hit, tally, reach, attain, hit, gain, establish, create, perpetrate, commit, pull, total, number, come, amount, assemble, gather, hold, throw, have, give, direct, cook, fix, ready, prepare, tidy, take, head, crap, eliminate, pass, change, be, amount, constitute, represent, comprise, be, look, appear, seem, work, pass, reach, attain, hit, gain, score*, persuade, guarantee, ensure, insure, assure*, secure, pretend, act, play, represent, see, consider, reckon, view, regard, estimate, gauge, guess, judge, change, alter, modify, develop, develop, grow, act, behave, do, piddle, piss, eliminate, pass, |0.0|.1|142
slog	work, pad, walk, slug, hit, |0.0|.1|5
finagle	manage, achieve, accomplish*, attain, reach, |0.0|.1|5
extricate	free, |0.0|.1|1
distrust	suspect, discredit, |0.0|.1|2
equal	be, touch, rival, match, compete, vie, contend, match, equate, change, alter, modify, |0.0|.1|12
stream	float, drift, blow, exude, ooze, pour, swarm, teem, crowd, pour, rain, run, flow, feed, course, |0.0|.1|15
ratchet	advance, progress*, |0.0|.1|2
tool	drive, ride, supply, provide, furnish, work, process, |0.0|.1|7
stand	rest, be, be, resist, evaluate, judge, digest, endure, stomach, bear, tolerate, support, brook, abide, suffer, permit, allow, let, stay, remain, rest, continue, measure, put, set, place, pose, position, lay, resist, fight, oppose, defend, serve, service, |0.0|.1|35
propose	suggest, advise, declare, project, plan, aim, purpose, purport, intend, mean, think, nominate, choose, take, select, offer, request, |0.0|.1|17
recall	remember, retrieve, think, return, refer, echo, resemble, call, concentrate, focus, center, centre, rivet, cancel, withdraw, take, |0.0|.1|16
minister	attend, look, see, work, |0.0|.1|4
doubt	discredit, distrust, suspect, |0.0|.1|3
misunderstand	interpret, construe, see, |0.0|.1|3
bond	adhere, bind, stick, attach, bind, tie, attach, relate, mortgage, unite, unify, |0.0|.1|11
rick	stack, pile, heap, twist, wrench, turn, wound, |0.0|.1|7
pencil	draw, |0.0|.1|1
labour	labor, grind, dig, work, labor, push, drive, fight, struggle, labor, experience, receive, have, get, undergo, |0.0|.1|15
slim	reduce, thin, turn, |0.0|.1|3
bob	move, sleigh, dock, tail, cut, greet, recognize, dress, arrange, set, do, |0.0|.1|11
carry	transport, move, displace, pack, take, have, feature, conduct, transmit, convey, channel, bring, convey, take, convey, express, communicate, hold, support, sustain*, hold, bear, hold, bear, contain, include, effect, extend, continue, imply, involve, win*, include, behave, bear, conduct, hold, bear, act, move, stock, stockpile, have, hold, run, circulate, distribute, disseminate, broadcast, spread, disperse, dribble, hit, communicate, pass, have, feature, range, sustain*, keep, maintain, have, hold, have, feature, persuade, sway, influence, work, compensate, correct, promote, advance, boost, further, encourage*, bear, appropriate, capture, seize, conquer, post, transfer, transfer, shift, follow, grow, raise, farm, produce, propel, hold, drink, booze, nourish, nurture, sustain*, have, feature, travel, go, move, obtain, win*, perform, execute, do, bear, expect, deliver, bear, birth, have, |0.0|.1|113
