yellow	  1,discolor, discolour, colour, color
reduce	  1, cut down, cut back, trim, trim down, trim back, cut, bring down,decrease, lessen, minify,2,simplify,3,demote, bump, relegate, break, kick downstairs,4,substitute, replace,5,take down, degrade, disgrace, demean, put down,6, come down, boil down,become, turn,7,shrink, decrease, lessen, minify,8,impoverish,9, scale down,shrink, 10,deoxidize, deoxidise, change,11, tighten,restrict, restrain, trammel, limit, bound, confine, throttle,12,repress, quash, keep down, subdue, subjugate, oppress, suppress, crush,13,separate, divide, part,14,reposition,15,abridge, foreshorten, abbreviate, shorten, cut, contract, decrease, lessen, minify,16,boil down,  decoct, concentrate,decrease, diminish, lessen, fall,17, boil down, concentrate,decrease, lessen, minify,18,dilute, thin, thin out,  cut,weaken,19, melt off, lose weight, slim, slenderize, thin, slim down,change state, turn
peel	  1,skin,  pare,strip,2,peel off,  flake off, flake,chip, chip off, come off, break away, break off,3,undress, discase, uncase, unclothe, strip, strip down, disrobe, take off
handle	  1,manage, deal, care, control, command,2,treat,  do by,interact,3,cover, treat,  plow, deal, address,broach, initiate,4, palm,touch,5,wield, manipulate,6,manipulate, keep in line, control
volunteer	  1,inform,2, offer,act, move,3,work
complete	  1, finish,end, terminate,2,fill, fill up, make full,3,dispatch, discharge, carry through, accomplish, execute, carry out, action, fulfill, fulfil,4, nail,play,5, fill out, fill in, make out
fire	  1,open  shoot,2, discharge,3,bake,4, give notice, can, dismiss, give the axe, send away, sack, force out, give the sack, terminate,remove,5, discharge, go off,6,chase away, drive out, turn back, drive away, dispel, drive off, run off,7,arouse, elicit, enkindle, kindle, evoke,  raise, provoke,make, create,8,burn,  burn down,destroy, ruin,9,fuel, supply, provide, render, furnish
range	  1, run,be,2,roll, wander, swan, stray, tramp, roam, cast, ramble, rove,  drift, vagabond,travel, go, move, locomote,3,4, straddle,constitute, represent, make up, comprise, be,5, array, lay out, set out,ar set up,6,crop, browse, graze,  pasture,feed, eat,7,feed, give,8,rate, rank,  order, grade, place,evaluate, pass judgment, judge
scorn	  1,contemn, despise,  disdain,hate, detest,2,reject, spurn, freeze off,  pooh-pooh, disdain, turn down,refuse, decline
warm	  1, warm up,change,2,change, alter, modify
depreciate	  1,deprecate,  vilipend,disparage, belittle, pick at,2,devalue,3, undervalue, devaluate, devalue,decrease, diminish, lessen, fall
motor	  1,drive, travel, go, move, locomote
certify	  1,attest,  manifest, demonstrate, evidence,testify, bear witness, prove, evidence, show,2,secure,3,license, licence, authorize, authorise, pass, clear,4, endorse, indorse,guarantee, warrant,5,declare, adjudge, hold
wrong	  1,treat, handle, do by
row	  1,boat
tumble	  1, topple,descend, fall, go down, come down,2,topple,  tip,push, force,3,roll over,4,whirl,  whirl around,move,5,crumble, crumple,  break down, collapse,change integrity,6,scramble, jumble, throw together,7,catch on, get wise, get onto,  latch on, cotton on, twig, get it,grok, get the picture, comprehend, savvy, dig, grasp, compass, apprehend,8,drop,9,toss,10,worsen, decline,11,exercise, work out
handle	  1,manage, deal, care, control, command,2,treat,  do by,interact,3,cover, treat,  plow, deal, address,broach, initiate,4, palm,touch,5,wield, manipulate,6,manipulate, keep in line, control
fast	  1,abstain, refrain, desist,2,abstain, refrain, desist
prey	  1, feed,exploit, work,2,raven,  predate,forage
analyze	  1, analyse, study, examine, canvass, canvas,2, analyse, break down, dissect, take apart,3, analyse,4, analyse, psycho psychoanalyse,treat, care for
section	  1,segment, separate, divide, part
belong	  1,be,2,dwell, consist, lie,  lie in,exist, be,3,be,4, go,be,5,be
author	  1,write, compose, pen, indite
plunge	  1,immerse, penetrate, perforate,2,dive,  plunk,descend, fall, go down, come down,3,dart, dash, scoot, scud, flash, shoot,4, launch,get down, begin, get, start out, start, set about, set out, commence,5, immerse,6, dump,drop,7,dunk, dip, souse,  douse,immerse, 8,steep, immerse, engulf,  engross, absorb, soak up,concentrate, focus, center, centre, pore, rivet
succumb	  1,yield, give in,  knuckle under, buckle under,accept, consent, go for,2, yield,die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it
search	  1, seek, look for,2, look,examine, see,3,re  explore,investigate, look into,4,examine, see
glamour	  1,hex, bewitch,  witch, enchant, jinx,charm, becharm
encourage	  1,promote, advance, boost, further, support, back up,2,inspire, animate, invigorate, enliven, exalt,3,induce, stimulate, cause, have, get, make
raise	  1,increase,2, lift, elevate, get up, bring up,move, displace,3,express, verbalize, verbalise, utter, give tongue to,4,collect, take in,5,grow,  farm, produce,cultivate,6,rear,  bring up, nurture, parent,7, conjure, conjure up, invoke, evoke, stir, call down, arouse, bring up, put forward, call forth,make, create,8,lift, move, displace,9, erect, rear, set up, put up,construct, build, make,10,arouse, elicit, enkindle, kindle, evoke, fire,  provoke,make, create,11,make, create,12,lift,  elevate,change, alter, modify,13,enhance, heighten, intensify, compound, heighten, deepen,14,promote, upgrade, advance, kick upstairs,  elevate,delegate, designate, depute, assign,15, leaven, prove, lift, elevate, get up, bring up,16,bid, call,17,bet, wager, play,18,recruit, levy, enlist, draft, muster in,19, bring up,mention, advert, bring up, cite, name, refer,20,pronounce, articulate, enounce, sound out, enunciate, say,21,incite, instigate, set off, stir up,22,reach, get through, get hold of, contact,23,multiply,24,bring out, set off,25, lift,better, improve, amend, ameliorate, meliorate,26,lift, end, terminate,27,resurrect,  upresuscitate, revive
fulfil	  1,carry through, accomplish, execute, carry out, action, fulfill, complete, finish,effect, effectuate, set up,2,meet, satisfy, fill, fulfill, provide, supply, ply, cater,3,satisfy, fulfill,  live up to,meet, fit, conform to
fulfill	  1,carry through, accomplish, execute, carry out, action,  fulfil,complete, finish,effect, effectuate, set up,2,satisfy,  fulfil, live up to,meet, fit, conform to,3,meet, satisfy, fill,  fulfil,provide, supply, ply, cater
commercialise	  1,commercialize,  market,change, alter, modify
gratify	  1,satisfy, 2, pander, indulge,provide, supply, ply, cater
shoo	  1,shoo off,  shoo away,chase away, drive out, turn back, drive away, dispel, drive off, run off
fry	  1,heat, hot up, heat up,2,cook,3,electrocute, kill
landscape	  1,decorate, adorn, grace, ornament, embellish, beautify,2,garden
call	  1,name, label,2, telephone, call up, phone, ring,telecommunicate,3,label,4, send for,order, tell, enjoin, say,5,shout, shout out, cry,  yell, scream, holler, hollo, squall,utter, emit, let out, let loose,6,visit, call in, meet, get together,7,request, bespeak, call for, quest,8,order,9,request,10,indicate,11,postpone, prorogue, hold over, put over, table, shelve, set back, defer, remit, put off,12,read,13,telecommunicate,14,declare, adjudge, hold,15,utter, emit, let out, let loose,16,utter, emit, let out, let loose,17,predict, foretell, prognosticate,  forebode, anticipate, promise,guess, venture, pretend, hazard,18,challenge, dispute, gainsay,19,see, consider, reckon, view, regard,20, call in,demand, exact,21, call off,22,address, address, turn to,23,stop, stop over,24,bid, play,25,ask, require, expect,26,entice, lure, tempt,27,challenge, dispute, gainsay,28,awaken, wake, waken, rouse, wake up, arouse
polarise	  1,polarize, change, alter, modify,2,polarize, separate, disunite, divide, part,3,polarize, separate, divide, part
freak	  1,freak out,  gross out,panic
dismay	  1,depress, deject, cast down, get down,  dispirit, demoralize, demoralise,discourage,2, alarm, appal, appall, horrify,frighten, fright, scare, affright
associate	  1, tie in, relate, link, colligate, link up, connect,think, cogitate, cerebrate,2,consort,  affiliate, assort,interact,3,consociate, unite, unify
rally	  1,beat up, drum up, collect, pull in,2,call up, mobilize, mobilise, call, send for,3,muster,  summon, come up, muster up,gather, garner, collect, pull together,4, rebound,recover, go back, recuperate,5,tease, razz, rag, cod, tantalize, tantalise, bait, taunt, twit,  ride,mock, bemock
vest	  1,in  enthrone,install,2,give,3,change hands, change owners,4,dress, dress up,5, robe,dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel
neglect	  1, pretermit, omit, drop, miss, leave out, overlook, overleap,2,fail, 3,4, ignore, disregard
back	  1, endorse, indorse, plump for, plunk for, support,approve, O.K., okay, sanction,2,travel, go, move, locomote,3,second,  endorse, indorse,support, back up,4,5,finance,6,lie,7,bet on,  gage, stake, game, punt,bet, wager, play,8,switch, change over, shift,9, back up,confirm, corroborate, sustain, substantiate, support, affirm,10,strengthen
team	  1, team up,group, aggroup
nick	  1, scut,2, chip,cut,3,change, alter, modify,4,copulate, mate, pair, couple
mock	  1, betreat, handle, do by,2,imitate, copy, simulate
dictate	  1,order, prescribe, inflict, bring down, visit, impose,2,read,3,govern, rule
smite	  1,hit,2,affect, impress, move, strike,3,afflict, damage
breast	  1,converge, meet,2,reach, make, attain, hit, arrive at, gain,3,front, confront, face
help	  1, assist, aid,support, back up,2, facilitate,serve,3, aid,better, improve, amend, ameliorate, meliorate,4,help oneself, refrain, forbear,5,promote, advance, boost, further, encourage,6,better, improve, amend, ameliorate, meliorate,7,serve, provide, supply, ply, cater,8,avail, exploit, work
mean	  1, intend,convey, impart,2,entail, imply, necessitate,3, intend, signify, stand for,4,intend,  think,will, wish,5,6,think of, have in mind, associate, tie in, relate, link, colligate, link up, connect,7,intend, destine, designate, specify
allow	  1,let,  permit,2,permit,  let, countenance,accept, consent, go for,3, grant,give,4, appropriate, earmark, set aside, reserve,assign, allot, portion,5,leave, allow for,  provide,yield, give, afford,6, take into account,calculate, estimate, reckon, count on, figure, forecast,7,admit, 8,give up, 9,discount,10, permit, tolerate,permit,  let, countenance
off	  1,murder, slay, hit, dispatch, bump   polish  remove,kill
suffer	  1, endure,experience, undergo, see, go through,2, sustain, have, get,experience, receive, have, get, undergo,3,feel, experience,4,digest, endure, stick out, stomach, bear, stand, tolerate, support, brook, abide,  put up,permit, allow, let, countenance,5,worsen, decline,6, hurt,be,7,hurt, ache, perceive, comprehend,8, meet,experience, undergo, see, go through,9,be,10,tend, be given, lean, incline, run,11, lose,worsen, decline
wax	  1,cover,2, mount, climb, rise,increase,3, full,increase
scroll	  1,move
issue	  1,publish, bring out, put out,  release,publicize, publicise, air, bare,2, supply,distribute,3,communicate, intercommunicate,4, emerge, come out, come forth, go forth, egress,5,write out,  make out, cut,write
gang	  1, gang up,group, aggroup
wind	  1,weave,  thread, meander, wander,travel, go, move, locomote,2, twist, curve,be,3, wrap, roll, twine,move, displace,4,scent, nose, smell,5, wind up,tighten, fasten,6,wreathe, intertwine, twine, entwine, enlace, interlace, lace,7,hoist, lift, raise, lift, elevate, get up, bring up
issue	  1,publish, bring out, put out,  release,publicize, publicise, air, bare,2, supply,distribute,3,communicate, intercommunicate,4, emerge, come out, come forth, go forth, egress,5,write out,  make out, cut,write
rebel	  1, arise, rise, rise up,protest, resist, dissent,2, renegade,protest, resist, dissent
uphold	  1,continue,  carry on, bear on, preserve,keep, maintain, hold,2,defend, support, fend for,3, maintain,confirm, reassert
shanghai	  1, impress,kidnap, nobble, abduct, snatch
squeeze	  1,squash, crush, squelch, mash, press,2,press,3,wedge,  force,move, displace,4,coerce, hale,  pressure, force,compel, oblige, obligate,5,extort,  rack, gouge, wring,overcharge, soak, surcharge, gazump, fleece, plume, pluck, rob, hook,6,thrust, stuff, shove, push, force,7,pinch,  twinge, tweet, nip, twitch,grip,8,embrace, hug, bosom, clasp,9,compress, constrict,  compact, contract, press,tighten
stable	  1,shelter
visualize	  1, visualise, envision, project, fancy, see, figure, picture, image,imagine, conceive of, ideate, envisage,2, visualise,watch, view, see, catch, take in,3, visualise,imagine, conceive of, ideate, envisage,4, visualise,change, alter, modify
breach	  1,transgress, offend, infract, violate, go against,  break,disrespect,2,gap, open, open up
include	  1,2,see, consider, reckon, view, regard,3,add,4,admit, let in, permit, allow, let, countenance
fence	  1, fence in,enclose, close in, inclose, shut in,2,receive, have,3,contend, fight, struggle,4,wall, palisade,  fence in, surround,protect,5,argue, contend, debate, converse, discourse
overlap	  1,coincide, co-occur, cooccur,2,cover, continue, extend
breathe	  1, take a breath, respire, suspire,2,exist, survive, live, subsist,3,instill, transfuse,4,be,5,express, verbalize, verbalise, utter, give tongue to,6,convey, impart,7,rest,  catch one's breath, take a breather,pause, intermit, break,8,oxidize, oxidise, oxidate,9,emit,  pass off,discharge, expel, eject, release
seize	  1, prehend, clutch,take, get hold of,2,take, get hold of,3,appropriate, capture,  conquer,assume, usurp,  take over, arrogate,4,impound, attach, sequester, confiscate, take,5,assume, usurp,  take over, arrogate,take,6,hook,7, clutch, get hold of,overwhelm, overpower, sweep over, whelm, overcome, overtake,8,grab, intrigue, fascinate
