yellow	  1,discolor, discolour, colour, color
wash	  1, rinse,serve, process, swear out,2, lave,cleanse, clean,3, launder,clean, make clean,4,move, displace,5,be,6,stand,7,separate,8,cover,9, wash out, wash off, wash away,remove, take, take away, withdraw,10,erode, eat away, fret,11,moisten,  dampen,wet,12,lave, lap, flow,13,cleanse, clean
spin	  1, spin around, whirl, reel, gyrate,revolve, go around, rotate,2,stream, well out,3,whirl, birl,  twirl,rotate, circumvolve,4,fabricate, manufacture, cook up, make up, invent,5,create from raw material, create from raw stuff,6,twist, twine, distort,7,present, represent, lay out,8, spin out,prolong, protract, extend, draw out
renovate	  1, restitute,regenerate, renew,2,refurbish,  freshen up,regenerate, renew,3,animate, recreate, reanimate, revive,  repair, quicken, vivify, revivify,stimulate, arouse, brace, energize, energise, perk up
service	  1, serve,function, work, operate, go, run,2,tune, tune up,3,serve, copulate, mate, pair, couple
need	  1,necessitate, ask, postulate,  require, take, involve, call for, demand,2,want,  require,be,3,need
master	  1, get the hang,know,2,overcome, get over, subdue, surmount, get the better of, overcome, defeat,3,dominate, control, command,4, control,know
list	  1, name,enumerate, recite, itemize, itemise,2,register,3,number, name, identify,4, lean,move,5, heel,lean, tilt, tip, slant, angle
bitter	  1,change taste
range	  1, run,be,2,roll, wander, swan, stray, tramp, roam, cast, ramble, rove,  drift, vagabond,travel, go, move, locomote,3,4, straddle,constitute, represent, make up, comprise, be,5, array, lay out, set out,ar set up,6,crop, browse, graze,  pasture,feed, eat,7,feed, give,8,rate, rank,  order, grade, place,evaluate, pass judgment, judge
listen	  1,perceive, comprehend,2, hear, take heed,concentrate, focus, center, centre, pore, rivet,3,heed, mind, obey
reward	  1,honor, honour, recognize, recognise,2,reinforce, teach, learn, instruct,3, repay, pay back,act, move
collapse	  1, fall in, cave in, give, give way, break, founder,change,2,break down, suffer, sustain, have, get,3,fold, fold up, turn up,4,crumble, crumple, tumble, break down, change integrity,5, burst,6,crack up, crack, crock up, break up, suffer, sustain, have, get,7,weaken
dip	  1,dunk,  souse, plunge, douse,immerse, plunge,2,dunk, eat,3,decline, go down, wane,4,stain,5,dim, change intensity,6,lower, take down, let down, get down, bring down,7, sink,decline,8,slope, incline, pitch,9, douse, duck,dunk,  souse, plunge, douse,10,create from raw material, create from raw stuff,11,immerse, plunge,12,scoop, scoop out, lift out, scoop up, take up
wax	  1,cover,2, mount, climb, rise,increase,3, full,increase
expand	  1, spread out,grow,2,grow,3,enlarge,4,boom, prosper, thrive, get ahead, flourish, grow,5,inflate, blow up,  amplify,increase,6,elaborate, lucubrate, expatiate, exposit, enlarge, flesh out,  expound, dilate,clarify, clear up, elucidate,7,extend, change, alter, modify
peril	  1,endanger, jeopardize, jeopardise, menace, threaten, im exist, be,2,queer, expose, scupper, endanger, affect, impact, bear upon, bear on, touch on, touch
